id,date,start ,Est,fintun,fe_tun,intun,maleAgg,fe_agr
bm,5/15/2015,10:31,995.3,3,8,3,2,2
bm,5/16/2015,10:22,1200.7,1,5,0,0,0
bm,5/17/2015,10:46,731,1,7,2,1,0
bm,5/18/2015,10:13,1233,1,7,1,0,0
bm,5/19/2015,10:30,1755.4,0,7,0,0,0
bm,5/20/2015,10:33,1111.3,0,2,2,1,0
bm,5/21/2015,11:16,862.2,3,3,5,4,0
bm,5/22/2015,10:34,774.8,1,2,3,1,0
bm,5/23/2015,11:15,1130.9,2,2,1,1,0
bm,5/24/2015,11:09,1354.2,1,7,3,1,0
bm,5/25/2015,10:40,829.7,0,8,5,4,0
bm,5/26/2015,10:16,970.4,0,2,1,1,0
bm,5/27/2015,11:50,909.5,0,5,3,1,0
bm,5/28/2015,10:09,757,2,2,1,1,1
bm,5/29/2015,9:28,497.5,2,2,1,1,0
bm,5/30/2015,9:53,697.7,2,3,2,0,0
bm,5/31/2015,9:00, ,1,2,6,5,0
bm,6/1/2015,10:17,1403.8,2,1,5,5,3
bm,6/2/2015,15:00,836.4,1,1,1,1,0
bm,6/3/2015,11:39,736.9,2,4,3,5,2
bm,6/4/2015,10:27,694.2,1,4,5,6,0
bm,6/5/2015,10:57,617.6,1,2,4,6,3
bm,6/6/2015,9:45,1584.9,3,3,1,1,0
bm,6/7/2015,10:41,2816.7,5,4,1,1,0
bm,6/8/2015,8:54,1024.9,1,1,5,6,0
bm,6/9/2015,10:44,774,2,0,6,5,4
bm,6/10/2015,10:57,1144.1,2,3,6,1,0
bm,6/11/2015,9:54,1144.1,3,2,2,1,0
bm,6/12/2015,9:18,1076.5,0,1,2,2,1
bm,6/13/2015,10:20,750.8,3,2,7,6,2
bm,6/14/2015,10:13,430.3,3,1,1,1,0
bm,6/15/2015,10:55,1209.7,3,3,4,3,2
bm,6/16/2015,11:05,1430.1,3,4,4,2,1
bm,6/17/2015,11:31,1308.2,1,1,3,3,1
bm,6/18/2015,11:39,1456.5,2,2,2,1,0
bm,6/19/2015,11:35,906.6,0,3,4,2,0
bm,6/20/2015,10:00, ,3,2,1,1,1
bm,6/21/2015,10:30,965.6,2,1,3,2,1
bm,6/22/2015,10:02,886.5,4,5,4,3,0
bm,6/23/2015,10:42,1558.7,2,4,1,0,0
bm,6/24/2015,10:38,1604.5,1,1,1,1,0
bm,6/25/2015,9:55,892.8,0,2,4,3,0
