Date,ID,Est,pro,cort,maleAgg,femagg,in tun
19-Mar-16,m-g,1190.838446,373.202454,309.1722772,0,0,2
20-Mar-16,m-g,506.3510848,180.8915187,347.9263804,2,2,5
21-Mar-16,m-g,1962.370062,334.9355509,91.85798817,0,0,5
22-Mar-16,m-g,890.8436214,970.1234568,371.002079,0,0,1
23-Mar-16,m-g,1446.097561,532.0162602,317.9259259,2,2,1
24-Mar-16,m-g,1682.18,572.096,336.6585366,2,1,2
25-Mar-16,m-g,776.6336634,470.970297,416.448,4,4,4
26-Mar-16,m-g,841.1597374,386.7571116,290.2811881,6,6,4
27-Mar-16,m-g,916.765873,378.6031746,300.6827133,6,6,7
28-Mar-16,m-g,813.2591093,321.4817814,212.4285714,5,4,2
29-Mar-16,m-g,632.8543307,273.7637795,282.0242915,4,4,5
30-Mar-16,m-g,1024.13442,472.9857434,248.2440945,5,4,2
31-Mar-16,m-g,901.6283525,313.4329502,274.2892057,7,7,4
2-Apr-16,m-g,814.194831,391.1093439,268.1072165,5,5,6
3-Apr-16,m-g,0,377.6957404,255.5069583,0,0,6
16-Mar-16,b-s,1399.83871,362.4274194,379.016129,3,3,3
17-Mar-16,b-s,1251.309524,517.015873,412.5,3,3,3
18-Mar-16,b-s,996.1046512,267.8914729,346.8837209,2,2,2
13-Apr-16,b-s,1230.481696,280,288.5549133,7,7,4
14-Apr-16,b-s,1817.042254,352.7323944,309.0784708,0,0,0
15-Apr-16,b-s,2272.734375,539.1796875,354.796875,3,3,1
17-Apr-16,b-s,1491.325052,323.7101449,318.5590062,0,0,0
18-Apr-16,b-s,1794.417671,343.5100402,369.7590361,0,0,0
25-Aug-15,a-s,1502.922465,525.6858847,144.6441352,3,3,8
26-Aug-15,a-s,794.3866944,453.3804574,145.6465696,0,0,0
27-Aug-15,a-s,999.5238095,376.7857143,106.7142857,1,0,3
28-Aug-15,a-s,1185.571142,374.2364729,165.0661323,4,4,3
29-Aug-15,a-s,1928.401559,451.7426901,209.4035088,1,1,2
30-Aug-15,a-s,1378.8,225.696,.,0,1,1
19-Feb-16,a-s,1006.020408,258.4081633,244.7265306,2,2,2
22-Feb-16,a-s,458.484252,140.4173228,145.5826772,0,0,0
23-Feb-16,a-s,1734.543726,341.9163498,324.9581749,2,2,3
24-Feb-16,a-s,2618.590734,616.2857143,371.1891892,1,1,1
25-Feb-16,a-s,715.5918367,380.0571429,321.4285714,1,1,1
1-Mar-16,a-s,1291.703854,435.148073,399.2129817,1,1,1
2-Mar-16,a-s,1570.745098,408.4156863,499.6235294,0,0,0
3-Mar-16,a-s,2200.314342,442.2789784,469.2730845,0,1,2
4-Mar-16,a-s,959.2479675,297.6585366,306.5853659,0,1,1
5-Mar-16,a-s,2148.511066,430.0523139,482.3420523,0,0,0
6-Mar-16,a-s,1509.94012,369.7884232,428.8383234,0,0,0
20-Mar-16,a-s,,,,2,3,3
