Date,ID,Est,lest,pro,lpro,cort,lcort,maleAgg,M_Agg_Intense,lmagg,femagg,F_Agg_Intense,lfagg,in tun,lintun
19-Mar-16,m-g,1190.838446,0.325113082,373.202454,2.571944491,309.1722772,2.490200545,0,1,0.1,0,1,0.1,2,2.1
20-Mar-16,m-g,506.3510848,0.369760711,180.8915187,2.257418205,347.9263804,2.541487359,2,2,2.1,2,2,2.1,5,5.1
21-Mar-16,m-g,1962.370062,0.303694666,334.9355509,2.524961247,91.85798817,1.963116929,0,1,0.1,0,1,0.1,5,5.1
22-Mar-16,m-g,890.8436214,0.339005865,970.1234568,2.986827006,371.002079,2.569376343,0,1,0.1,0,1,0.1,1,1.1
23-Mar-16,m-g,1446.097561,0.31643591,532.0162602,2.725924906,317.9259259,2.502325945,2,2,2.1,2,2,2.1,1,1.1
24-Mar-16,m-g,1682.18,0.309993656,572.096,2.757468911,336.6585366,2.527189631,2,2,2.1,1,1,1.1,2,2.1
25-Mar-16,m-g,776.6336634,0.345994876,470.970297,2.672993518,416.448,2.619560781,4,4,4.1,4,4,4.1,4,4.1
26-Mar-16,m-g,841.1597374,0.341894546,386.7571116,2.587438308,290.2811881,2.462818892,6,5,6.1,6,5,6.1,4,4.1
27-Mar-16,m-g,916.765873,0.337580269,378.6031746,2.578184251,300.6827133,2.478108461,6,5,6.1,6,5,6.1,7,7.1
28-Mar-16,m-g,813.2591093,0.343615579,321.4817814,2.507156366,212.4285714,2.327212928,5,5,5.1,4,4,4.1,2,2.1
29-Mar-16,m-g,632.8543307,0.356976639,273.7637795,2.437375988,282.0242915,2.450286517,4,4,4.1,4,4,4.1,5,5.1
30-Mar-16,m-g,1024.13442,0.332186519,472.9857434,2.674848051,248.2440945,2.394878926,5,5,5.1,4,4,4.1,2,2.1
31-Mar-16,m-g,901.6283525,0.338406319,313.4329502,2.496144651,274.2892057,2.438208717,7,5,7.1,7,5,7.1,4,4.1
2-Apr-16,m-g,814.194831,0.343556623,391.1093439,2.592298192,268.1072165,2.428308504,5,5,5.1,5,5,5.1,6,6.1
16-Mar-16,b-s,1399.83871,0.317856074,362.4274194,2.559221047,379.016129,2.578657692,3,3,3.1,3,3,3.1,3,3.1
17-Mar-16,b-s,1251.309524,0.322855098,517.015873,2.713503877,412.5,2.615423953,3,3,3.1,3,3,3.1,3,3.1
18-Mar-16,b-s,996.1046512,0.333521777,267.8914729,2.42795889,346.8837209,2.540183919,2,2,2.1,2,2,2.1,2,2.1
13-Apr-16,b-s,1230.481696,0.323616724,280,2.447158031,288.5549133,2.460228474,7,5,7.1,7,5,7.1,4,4.1
14-Apr-16,b-s,1817.042254,0.306808225,352.7323944,2.547445346,309.0784708,2.490068755,0,1,0.1,0,1,0.1,0,0.1
15-Apr-16,b-s,2272.734375,0.29792507,539.1796875,2.731733523,354.796875,2.549979786,3,3,3.1,3,3,3.1,1,1.1
17-Apr-16,b-s,1491.325052,0.31510232,323.7101449,2.51015631,318.5590062,2.503189888,0,1,0.1,0,1,0.1,0,0.1
18-Apr-16,b-s,1794.417671,0.307321296,343.5100402,2.535939435,369.7590361,2.567918796,0,1,0.1,0,1,0.1,0,0.1
25-Aug-15,a-s,1502.922465,0.314768638,525.6858847,2.720726316,144.6441352,2.160300829,3,3,3.1,3,3,3.1,8,8.1
