p_date,p_est,p_cort,p_pro,,s_date,s_est,s_cort,s_pro,,m_date,m_est,m_cort,m_pro
3-Apr-15,363.3522267,639.6194332,427.4493927,,3-Apr-15,691.74,682.296,305.352,,3-Apr-15,673.6561265,460.9565217,270.9960474
4-Apr-15,574.4435484,643.4032258,388.5483871,,4-Apr-15,1805.942029,283.5279503,201.0186335,,4-Apr-15,354.17154,386.0584795,175.7192982
5-Apr-15,1180.889813,2565.130977,521.2474012,,5-Apr-15,504.0733591,158.4324324,159.011583,,5-Apr-15,647.2635815,439.6539235,201.1509054
6-Apr-15,587.176699,658.3456311,428.0854369,,6-Apr-15,786.2298387,344.3951613,209.9758065,,6-Apr-15,979.3503937,560.2913386,206.8582677
7-Apr-15,399.3772455,632.5748503,386.4271457,,7-Apr-15,1270.497018,461.6540755,201.1133201,,7-Apr-15,556.3944223,414.3824701,238.374502
8-Apr-15,937.3767821,967.0386965,448.8798371,,8-Apr-15,663.2377049,429.4180328,202.795082,,8-Apr-15,719.9805068,880.9590643,232.4912281
9-Apr-15,437.6579477,825.7303823,393.8028169,,9-Apr-15,2067.84,300.696,158.904,,9-Apr-15,492.14,434.136,198.432
10-Apr-15,440.6111111,660.3095238,428.7142857,,10-Apr-15,651.1003861,380.5019305,163.8764479,,10-Apr-15,366.6532258,525.3387097,156.7741935
11-Apr-15,220.2125984,538.8897638,311.1023622,,11-Apr-15,402.6760563,236.3299799,129.5130785,,11-Apr-15,727.9876797,552.3696099,268.7802875
12-Apr-15,438.2985685,653.2515337,368.5889571,,12-Apr-15,688.2716049,153.8518519,100.2222222,,12-Apr-15,661.6153846,549.1153846,204.0923077
13-Apr-15,487.3387097,960.9193548,457.2580645,,13-Apr-15,820.5384615,295.5,106.5461538,,13-Apr-15,790.6809339,544.2723735,267.0583658
15-Apr-15,262.03861,706.8185328,345.5444015,,14-Apr-15,986.9917012,304.1825726,151.5435685,,14-Apr-15,585.8116232,544.2805611,199.6953908
17-Apr-15,391.561753,629.0438247,450.7569721,,15-Apr-15,801.3899614,525.1969112,126.4864865,,15-Apr-15,804.72,389.904,228.6
18-Apr-15,805.245509,1047.305389,407.0259481,,17-Apr-15,1170.629921,302.9291339,107.503937,,17-Apr-15,960.3420523,1117.907445,290.1730382
19-Apr-15,540.8230453,969.3333333,405.8436214,,18-Apr-15,772.2199593,565.0753564,98.90835031,,18-Apr-15,1567.210216,454.3732809,314.3811395
20-Apr-15,268.2053388,760.4106776,295.5400411,,19-Apr-15,515.5226824,362.9585799,110.3431953,,19-Apr-15,1819.593496,363.8780488,250.902439
21-Apr-15,224.3571429,481.0238095,297.3809524,,20-Apr-15,1294.043393,578.6035503,265.8461538,,20-Apr-15,696.4547206,340.2312139,189.5028902
22-Apr-15,588.2157996,779.8612717,388.2851638,,21-Apr-15,2774.958848,624.691358,164.1481481,,21-Apr-15,789.5876289,637.9793814,362.5979381
23-Apr-15,818.6178862,911.3414634,428.9430894,,22-Apr-15,1388.011928,346.0675944,125.9642147,,22-Apr-15,1222.727273,452.0826446,205.8099174
24-Apr-15,208.3040936,487.7192982,263.1578947,,23-Apr-15,1418.77551,470.2040816,147.3061224,,23-Apr-15,735.6,503.616,219.096
25-Apr-15,585.8485437,740.807767,380.1165049,,24-Apr-15,1116.55642,429.5719844,147.2217899,,24-Apr-15,876.5,661.925,288.675
26-Apr-15,702.2535211,667.9678068,407.0020121,,25-Apr-15,1712.23301,653.0097087,159.9378641,,25-Apr-15,1300.08,407.256,214.488
27-Apr-15,248.1882353,554.0705882,331.372549,,26-Apr-15,504.0429688,411.421875,190.6875,,26-Apr-15,766.1857708,400.5296443,253.3517787
28-Apr-15,471.3765182,884.8906883,486,,27-Apr-15,1018.548708,202.9502982,123.6739563,,27-Apr-15,734.0792079,393.1485149,188.6970297
1-May-15,368.1574803,721.7952756,357.7952756,,28-Apr-15,902.5098039,600.7529412,191.1529412,,28-Apr-15,535.3658537,540.3658537,252.2926829
2-May-15,1442.452906,1091.735471,532.2645291,,1-May-15,301.2451362,278.5680934,98.89494163,,1-May-15,1237.651663,405.4637965,228.1878669
3-May-15,545.377176,863.1876209,337.2533849,,2-May-15,777.8269618,285.1267606,149.722334,,2-May-15,847.6844262,593.6803279,262.7704918
4-May-15,302.78125,1284.210938,332.71875,,3-May-15,1382.887189,380.0764818,147.8546845,,3-May-15,1228.466135,673.4103586,389.8326693
5-May-15,281.0250482,1140.693642,344.2774566,,4-May-15,705.2123552,357.7992278,121.3436293,,4-May-15,458.4337349,750.9638554,354.3614458
6-May-15,930.1022495,636.0981595,516.6462168,,5-May-15,2502.037422,408.6237006,224.008316,,5-May-15,997.4612403,372.2790698,390.4186047
7-May-15,1740.430894,1002.317073,733.9837398,,6-May-15,801.7319588,383.3072165,110.1525773,,6-May-15,586.4212679,605.5460123,237.3496933
8-May-15,516.2315369,951.0179641,442.2035928,,7-May-15,682.0428016,322.7159533,118.2256809,,7-May-15,950.9807692,504.6,282.8769231
9-May-15,892.3178295,866.5348837,481.5503876,,8-May-15,705.1234568,444.8148148,205.4074074,,8-May-15,2202.884615,.,531.7615385
10-May-15,531.25,993.7741935,457.0967742,,9-May-15,1329.403579,700.3658052,226.9502982,,9-May-15,939.4230769,553.0384615,380.6307692
11-May-15,484.9920635,1246.714286,502.5396825,,10-May-15,338.1538462,312.7384615,141.2307692,,10-May-15,2360.779727,729.2163743,370.7368421
12-May-15,196.1731959,1218.061856,351.3154639,,11-May-15,567.8571429,425.9510204,172.1387755,,11-May-15,1133.927856,542.741483,371.3266533
14-May-15,438.6906188,864.6227545,405.1097804,,12-May-15,1793.945841,787.0096712,269.6866538,,12-May-15,1418.903846,660.2538462,370.3153846
15-May-15,680.3326572,955.9837728,450.6288032,,14-May-15,2729.263566,421.3953488,180.9767442,,14-May-15,2151.375969,985.9302326,469.1860465
