s_datecolct,s_est,m_est
4/3/2015,691.7,673.7
4/4/2015,1805.9,354.2
4/5/2015,504.1,647.3
4/6/2015,786.2,979.4
4/7/2015,1270.5,556.4
4/8/2015,663.2,720
4/9/2015,2067.8,492.1
4/10/2015,651.1,366.7
4/11/2015,402.7,728
4/12/2015,688.3,661.6
4/13/2015,820.5,790.7
4/14/2015,987,585.8
4/15/2015,801.4,804.7
4/17/2015,1170.6,960.3
4/18/2015,772.2,1567.2
4/19/2015,515.5,1819.6
4/20/2015,1294,696.5
4/21/2015,2775,789.6
4/22/2015,1388,1222.7
4/23/2015,1418.8,735.6
4/24/2015,1116.6,876.5
4/25/2015,1712.2,1300.1
4/26/2015,504,766.2
4/27/2015,1018.5,734.1
4/28/2015,902.5,535.4
5/1/2015,301.2,1237.7
5/2/2015,777.8,847.7
5/3/2015,1382.9,1228.5
5/4/2015,705.2,458.4
5/5/2015,2502,997.5
5/6/2015,801.7,586.4
5/7/2015,682,951
5/8/2015,705.1,2202.9
5/9/2015,1329.4,939.4
5/10/2015,338.2,2360.8
5/11/2015,567.9,1133.9
5/12/2015,1793.9,1418.9
5/14/2015,2729.3,2151.4
5/15/2015,788.8,995.3
5/16/2015,1410.1,1200.7
5/17/2015,1096.7,731
5/18/2015,1109.7,1233
5/19/2015,916.8,1755.4
5/20/2015,692.1,1111.3
5/21/2015,457.8,862.2
5/22/2015,787,774.8
5/23/2015,608.6,1130.9
5/24/2015,882.4,1354.2
5/25/2015,694.8,829.7
5/26/2015,667.5,970.4
5/27/2015,404.7,909.5
5/28/2015,343.4,757
5/29/2015,1421.5,497.5
5/30/2015,1054.8,697.7
5/31/2015,1024.2,na
6/1/2015,235.5,1403.8
6/3/2015,2447,836.4
6/4/2015,1179.6,736.9
6/5/2015,547.4,694.2
6/6/2015,446.7,617.6
6/7/2015,1797.3,1584.9
6/8/2015,1459.6,2816.7
6/9/2015,1023.4,1024.9
6/10/2015,1252,774
6/11/2015,821.5,1144.1
6/12/2015,849.6,1076.5
6/13/2015,1215,750.8
6/14/2015,667.7,430.3
6/15/2015,1202.7,1209.7
6/16/2015,319.1,1430.1
6/17/2015,566.2,1308.2
6/18/2015,723.7,1456.5
6/19/2015,434.6,906.6
6/21/2015,737.8,1383
6/21/2015,555.7,965.6
6/22/2015,1101.4,886.5
6/23/2015,556,1558.7
6/24/2015,617.5,1604.5
6/25/2015,837.7,892.8
6/25/2015,816.2,643.1
6/26/2015,746,981.5
6/27/2015,573.9,491
6/28/2015,963.5,944.4
6/29/2015,962.5,1248
6/30/2015,384.5,1617
7/1/2015,882.5,1069
7/2/2015,352.1,788
7/4/2015,424.5,721.5
7/5/2015,482.9,970.9
7/6/2015,413.7,386.6
7/7/2015,690.5,1270.6
7/8/2015,593.6,715.6
7/9/2015,1255.1,457.3
7/10/2015,910.3,584.6
7/11/2015,2502.5,1346.5
7/12/2015,1121.1,943.4
7/13/2015,1100.8,1929.3
7/13/2015,776.7,1307.7
7/14/2015,804.6,909.6
7/15/2015,1068.4,878.7
7/16/2015,1863.5,1087.6
7/17/2015,846.4,1053
7/18/2015,761.2,859.7
7/19/2015,891.1,1111.2
7/20/2015,375.9,985.1
7/21/2015,472.2,1112
7/22/2015,818.3,1126
7/23/2015,412.6,na
7/24/2015,1149.8,873.9
7/25/2015,824.2,761.1
7/26/2015,344.1,1187.2
7/27/2015,625.9,668.2
7/28/2015,350.7,386
7/29/2015,841.8,712.3
7/30/2015,611.2,1069
7/31/2015,1250,849.8
8/1/2015,455.8,964.1
8/2/2015,546.5,764.1
8/3/2015,421.8,1242.4
8/4/2015,730.9,na
8/5/2015,490.5,959.8
8/6/2015,310.4,1057.1
8/7/2015,711.3,1006.7
8/8/2015,402.8,809.5
8/9/2015,836,992.6
8/10/2015,250.4,1247.7
8/11/2015,405.3,1061.4
8/12/2015,1001.9,909.9
8/13/2015,424.4,3923.1
8/14/2015,503,609.1
8/15/2015,364.3,445.3
8/16/2015,511.7,766
8/17/2015,1543.4,1684
8/18/2015,379,1174.8
8/19/2015,1201.9,624.1
8/20/2015,521.3,1060.3
8/21/2015,1478.7,540
8/22/2015,885.2,482.2
8/23/2015,1268.2,470.3
8/24/2015,2650.2,na
8/25/2015,1502.9,687.6
8/26/2015,794.4,882.7
8/27/2015,999.5,801.7
8/28/2015,1185.6,1114.8
8/29/2015,1928.4,1484.7
8/30/2015,1378.8,2255.9
8/31/2015,1287.6,2110.7
1/1/2016,338.9,670.3
1/2/2016,298.7,991.1
1/3/2016,1067.2,883.8
1/4/2016,556.3,1340.9
1/5/2016,860.9,1247.3
1/6/2016,780,1139.9
1/7/2016,1097.9,987.8
1/8/2016,540.4,1155.7
1/9/2016,820.1,1427
1/10/2016,508.9,1921.5
1/11/2016,972.3,1761.8
1/12/2016,330.9,1675
1/13/2016,826.5,2845
1/14/2016,465,719.4
1/15/2016,na,712
1/16/2016,753.6,732
1/17/2016,1249.1,683.8
1/18/2016,654.5,951.7
1/19/2016,478.4,1506.8
1/20/2016,619.2,1346.6
1/21/2016,1447.9,2155.4
1/22/2016,337.9,1305.5
1/23/2016,1085.5,1494.6
1/24/2016,844.6,699.7
1/25/2016,1070,887
1/26/2016,391,1010.9
1/27/2016,997.9,585.3
1/28/2016,516.9,532.1
1/29/2016,698.1,776.5
1/30/2016,1972.7,1925.3
1/31/2016,860.9,988.4
2/1/2016,942.6,1568.2
2/2/2016,990.6,1491.3
2/3/2016,1158.9,1929.7
2/4/2016,1199.1,1876
2/5/2016,1289.1,2373.9
2/6/2016,1379.5,545.8
2/7/2016,1465,1295.8
2/8/2016,1825.6,1659.9
2/9/2016,1113.6,2762.8
2/10/2016,1109.3,2058.6
2/11/2016,2653.5,2462.2
2/12/2016,1122,1778.3
2/13/2016,594.1,2588.4
2/14/2016,250.9,857
2/15/2016,215.9,1532.8
2/16/2016,1651.6,2113.7
2/17/2016,251.3,2273.9
2/18/2016,1880.1,951.3
2/19/2016,1006,1472.2
2/21/2016,2296.2,158.6
2/22/2016,458.5,1455.9
2/23/2016,1734.5,1393.7
2/24/2016,2618.6,1310
2/25/2016,1541.4,1149.8
2/26/2016,na,1068.8
2/27/2016,na,724.7
2/28/2016,na,285.5
2/29/2016,715.6,732
3/1/2016,1291.7,1724
3/2/2016,1570.7,466.4
3/3/2016,2200.3,870.1
3/4/2016,959.2,1016.5
3/5/2016,2148.5,468.5
3/6/2016,1509.9,1413
3/7/2016,2637.5,1181
3/8/2016,1396.2,462.5
3/9/2016,1219,626.7
3/10/2016,1377.5,1319.5
3/11/2016,1788.2,850.1
3/12/2016,995.2,433.7
3/13/2016,807.7,1358.4
3/14/2016,992.6,822.7
3/15/2016,626.1,1296.1
3/16/2016,1399.8,1541.8
3/17/2016,1251.3,1645.6
3/18/2016,996.1,1300.7
3/19/2016,1503.3,1508.5
3/21/2016,2382,1190.8
3/22/2016,2140,506.4
3/23/2016,1701.4,1962.4
3/24/2016,1230.4,890.8
3/25/2016,na,1446.1
3/26/2016,na,1682.2
3/27/2016,na,776.6
3/28/2016,726.5,841.2
3/29/2016,808,916.8
3/30/2016,274.3,813.3
3/31/2016,992.2,632.9
3/31/2016,772.9,1024.1
4/1/2016,847.6,901.6
4/2/2016,530.1,946.3
4/3/2016,409.7,814.2
4/4/2016,266.1,0
4/5/2016,498.5,708.4
4/6/2016,1147.6,401.4
4/7/2016,906.2,na
