s_est,m_est,b_agr,m_agr,s_datecolct,s_est,m_dateclct,m_est
15-May-15,995.3,2,2,3-Apr-15,691.7,3-Apr-15,673.7
16-May-15,1200.7,na,0,4-Apr-15,1805.9,4-Apr-15,354.2
17-May-15,731,1,0,5-Apr-15,504.1,5-Apr-15,647.3
18-May-15,1233,na,0,6-Apr-15,786.2,6-Apr-15,979.4
19-May-15,1755.4,na,0,7-Apr-15,1270.5,7-Apr-15,556.4
20-May-15,1111.3,1,0,8-Apr-15,663.2,8-Apr-15,720
21-May-15,862.2,4,0,9-Apr-15,2067.8,9-Apr-15,492.1
22-May-15,774.8,1,0,10-Apr-15,651.1,10-Apr-15,366.7
23-May-15,1130.9,1,0,11-Apr-15,402.7,11-Apr-15,728
24-May-15,1354.2,1,0,12-Apr-15,688.3,12-Apr-15,661.6
25-May-15,829.7,4,0,13-Apr-15,820.5,13-Apr-15,790.7
21-May-15,970.4,1,0,14-Apr-15,987,14-Apr-15,585.8
27-May-15,909.5,1,0,15-Apr-15,801.4,15-Apr-15,804.7
28-May-15,757,1,1,17-Apr-15,1170.6,17-Apr-15,960.3
29-May-15,497.5,1,0,18-Apr-15,772.2,18-Apr-15,1567.2
30-May-15,697.7,na,0,19-Apr-15,515.5,19-Apr-15,1819.6
3-Jun-15,836.4,5,0,20-Apr-15,1294,20-Apr-15,696.5
4-Jun-15,736.9,5,3,21-Apr-15,2775,21-Apr-15,789.6
5-Jun-15,694.2,1,0,22-Apr-15,1388,22-Apr-15,1222.7
6-Jun-15,617.6,5,2,23-Apr-15,1418.8,23-Apr-15,735.6
7-Jun-15,1584.9,5,0,24-Apr-15,1116.6,24-Apr-15,876.5
8-Jun-15,2816.7,5,3,25-Apr-15,1712.2,25-Apr-15,1300.1
9-Jun-15,1024.9,1,0,26-Apr-15,504,26-Apr-15,766.2
10-Jun-15,774,1,0,27-Apr-15,1018.5,27-Apr-15,734.1
11-Jun-15,1144.1,5,0,28-Apr-15,902.5,28-Apr-15,535.4
12-Jun-15,1076.5,5,4,1-May-15,301.2,1-May-15,1237.7
13-Jun-15,750.8,1,0,2-May-15,777.8,2-May-15,847.7
14-Jun-15,430.3,1,0,3-May-15,1382.9,3-May-15,1228.5
15-Jun-15,1209.7,2,1,4-May-15,705.2,4-May-15,458.4
16-Jun-15,1430.1,5,2,5-May-15,2502,5-May-15,997.5
17-Jun-15,1308.2,1,0,6-May-15,801.7,6-May-15,586.4
18-Jun-15,1456.5,3,2,7-May-15,682,7-May-15,951
19-Jun-15,906.6,2,1,8-May-15,705.1,8-May-15,2202.9
20-Jun-15,1383,3,1,9-May-15,1329.4,9-May-15,939.4
21-Jun-15,965.6,1,0,10-May-15,338.2,10-May-15,2360.8
21-Jun-15,886.5,2,0,11-May-15,567.9,11-May-15,1133.9
22-Jun-15,1558.7,1,1,12-May-15,1793.9,12-May-15,1418.9
23-Jun-15,1604.5,2,1,14-May-15,2729.3,14-May-15,2151.4
24-Jun-15,892.8,3,0,15-May-15,788.8,15-May-15,995.3
25-Jun-15,643.1,na,0,16-May-15,1410.1,16-May-15,1200.7
26-Jun-15,981.5,1,0,17-May-15,1096.7,17-May-15,731
27-Jun-15,491,3,0,18-May-15,1109.7,18-May-15,1233
28-Jun-15,944.4,5,2,19-May-15,916.8,19-May-15,1755.4
29-Jun-15,1248,4,2,20-May-15,692.1,20-May-15,1111.3
30-Jun-15,1617,1,1,21-May-15,457.8,21-May-15,862.2
1-Jul-15,1069,3,2,22-May-15,787,22-May-15,774.8
2-Jul-15,788,2,2,23-May-15,608.6,23-May-15,1130.9
3-Jul-15,721.5,1,0,24-May-15,882.4,24-May-15,1354.2
4-Jul-15,970.9,1,1,25-May-15,694.8,25-May-15,829.7
5-Jul-15,386.6,3,0,26-May-15,667.5,21-May-15,970.4
6-Jul-15,1270.6,2,0,27-May-15,404.7,27-May-15,909.5
7-Jul-15,715.6,3,1,28-May-15,343.4,28-May-15,757
8-Jul-15,457.3,4,1,29-May-15,1421.5,29-May-15,497.5
,,,,30-May-15,1054.8,30-May-15,697.7
,,,,31-May-15,1024.2,na,na
,,,,1-Jun-15,235.5,1-Jun-15,1403.8
,,,,3-Jun-15,2447,3-Jun-15,836.4
,,,,4-Jun-15,1179.6,4-Jun-15,736.9
,,,,5-Jun-15,547.4,5-Jun-15,694.2
,,,,6-Jun-15,446.7,6-Jun-15,617.6
,,,,7-Jun-15,1797.3,7-Jun-15,1584.9
,,,,8-Jun-15,1459.6,8-Jun-15,2816.7
,,,,9-Jun-15,1023.4,9-Jun-15,1024.9
,,,,10-Jun-15,1252,10-Jun-15,774
,,,,11-Jun-15,821.5,11-Jun-15,1144.1
,,,,12-Jun-15,849.6,12-Jun-15,1076.5
,,,,13-Jun-15,1215,13-Jun-15,750.8
