Explict question,zoo5,zoo1,wild5,wild1,dzoo5,dzoo1,dwild5,dwild1
43.1,7.1,4.8,6.5,5.2,1.095457768,1.011177183,1.095457768,1.449500906
43.2,3.9,4.3,3.6,4.4,1.308878192,0.254210135,1.308878192,1.164925007
43.3,4.5,6,5,5.8,1.293223457,1.164925007,1.293223457,1.330224028
43.4,5.5,7.4,6.6,7.4,0.531894264,1.330224028,0.531894264,0.734829985
45.1,7.4,7.4,7.7,7.2,1.084930173,0.734829985,1.011177183,1.149087031
45.2,4.6,4.6,4.5,4.5,1.450298568,0.760021221,1.168067227,0.788716802
45.3,4.3,3.8,3.8,3.9,1.367857078,1.168067227,1.320161574,1.167164343
45.4,5.2,5,5.2,5.4,1.207015187,1.320161574,0.576591338,0.751583101
47.1,8.4,7.3,7.6,7.5,0.348243859,0.576591338,0.443309095,0.978682073
47.2,4.3,4.5,4,4.5,1.449500906,0.443309095,1.084930173,0.911607857
47.3,4,4.8,4.6,3.9,0.911607857,0.984738666,1.450298568,1.191773347
47.4,5.5,5.8,6.3,5.4,1.191773347,1.200080054,1.367857078,0.93216567
48.1,7.7,7.1,7.2,7.1,0.93216567,1.009214209,1.207015187,0.591327103
48.2,4.2,4.4,4.1,4.4,0.591327103,1.149087031,0.348243859,0.324478348
48.3,4,4.2,4.6,4,0.324478348,0.788716802,0.254210135,0.768905231
48.4,5.1,5,5.1,4.8,0.768905231,1.167164343,0.984738666,0.442141906
49.1,5.2,4.9,5.5,4.6,0.442141906,0.751583101,1.200080054,1.140698917
49.2,5.2,4.7,5.2,4.7,1.140698917,0.978682073,1.009214209,1.445612844
49.3,3.5,4.3,4.9,3.7,1.445612844,1.308980169,,0.646137497
49.4,9.2,8.6,9.1,8.8,0.646137497,1.177116279,,0.760021221
49.5,9.5,8.8,9.5,8.8,,0.923562148,,1.308980169
dscore,,,,,,0.73575688,,1.177116279
,,,,,,0.778207138,,0.923562148
,,,,,,0.693224076,,0.73575688
,,,,,,0.912185212,,0.778207138
,,,,,,0.890155271,,0.693224076
,,,,,,0.741104998,,0.912185212
,,,,,,1.232537475,,0.890155271
,,,,,,0.145969922,,0.741104998
,,,,,,1.125821738,,1.232537475
,,,,,,0.780324425,,0.145969922
,,,,,,1.01349726,,1.125821738
,,,,,,0.435684442,,0.780324425
,,,,,,0.489628523,,1.01349726
,,,,,,0.621565041,,0.435684442
,,,,,,-0.140865052,,0.489628523
,,,,,,0.079093534,,0.621565041
,,,,,,1.317167746,,-0.140865052
,,,,,,1.125299736,,0.079093534
,,,,,,0.834662267,,1.317167746
,,,,,,1.374281747,,1.125299736
,,,,,,0.762893922,,0.834662267
,,,,,,1.148652881,,1.374281747
,,,,,,1.378589946,,0.762893922
,,,,,,1.101572728,,1.148652881
,,,,,,1.144756833,,1.378589946
,,,,,,1.352637628,,1.101572728
,,,,,,0.69595983,,1.144756833
,,,,,,1.012174562,,1.352637628
,,,,,,,,0.69595983
,,,,,,,,1.012174562
