y1,s_est,,,y2,s_est,,,,,,,,
1/1/2015,,,,1/1/2016,,,,,,,,,
4/3/2015,691.74,,,4/3/2016,409.7,,,,,,,,
4/4/2015,1805.942029,,,4/4/2016,266.1,,,,,,,,
4/5/2015,504.0733591,,,4/5/2016,498.5,,,,,,,,
4/6/2015,786.2298387,,,4/6/2016,1147.6,,,,,,,,
4/7/2015,1270.497018,,,4/7/2016,906.2,,,,,,,,
4/8/2015,663.2377049,,,4/8/2016,2014.4,,,,,,,,
4/9/2015,2067.84,,,4/10/2016,918.8,,,,,,,,
4/10/2015,651.1003861,,,4/10/2016,3294.1,,,,,,,,
4/11/2015,402.6760563,,,4/11/2016,1387.3,,,,,,,,
4/12/2015,688.2716049,,,4/12/2016,879.7,,,,,,,,
4/13/2015,820.5384615,,,4/13/2016,1230.5,,,,,,,,
4/14/2015,986.9917012,,,4/14/2016,1817,,,,,,,,
4/15/2015,801.3899614,,,4/15/2016,2272.7,,,,,,,,
4/17/2015,1170.629921,,,4/17/2016,1491.3,,,,,,,,
4/18/2015,772.2199593,,,4/18/2016,1794.4,,,,,,,,
4/19/2015,515.5226824,,,4/19/2016,1775.3,,,,,,,,
4/20/2015,1294.043393,,,4/20/2016,1828.7,,,,,,,,
4/21/2015,2774.958848,,,4/21/2016,947.3,,,,,,,,
4/22/2015,1388.011928,,,4/22/2016,1298.5,,,,,,,,
4/23/2015,1418.77551,,,4/23/2016,1346,,,,,,,,
4/24/2015,1116.55642,,,4/24/2016,1770.4,,,,,,,,
4/25/2015,1712.23301,,,4/25/2016,1584.3,,,,,,,,
4/26/2015,504.0429688,,,4/26/2016,1339.5,,,,,,,,
4/27/2015,1018.548708,,,4/27/2016,1097,,,,,,,,
4/28/2015,902.5098039,,,4/28/2016,1276.8,,,,,,,,
4/29/2015,,,,4/29/2016,1815.9,,,,,,,,
4/30/2015,,,,4/30/2016,1512.8,,,,,,,,
5/1/2015,301.2451362,,,5/1/2016,1041.7,,,,,,,,
5/2/2015,777.8269618,,,5/2/2016,1160.9,,,,,,,,
5/3/2015,1382.887189,,,5/3/2016,1245.5,,,,,,,,
5/4/2015,705.2123552,,,5/4/2016,501.1,,,,,,,,
5/5/2015,2502.037422,,,5/5/2016,826.4,,,,,,,,
5/6/2015,801.7319588,,,5/6/2016,788.4,,,,,,,,
5/7/2015,682.0428016,,,5/7/2016,1794.5,,,,,,,,
5/8/2015,705.1234568,,,5/8/2016,1603.4,,,,,,,,
5/9/2015,1329.403579,,,5/9/2016,1146,,,,,,,,
5/10/2015,338.1538462,,,5/10/2016,1166.9,,,,,,,,
5/11/2015,567.8571429,,,5/11/2016,1219.2,,,,,,,,
5/12/2015,1793.945841,,,5/12/2016,674,,,,,,,,
5/13/2015,,,,5/13/2016,747.7,,,,,,,,
5/14/2015,2729.263566,,,5/14/2016,,,,,,,,,
5/15/2015,788.7739464,,,5/15/2016,1075.6,,,,,,,,
5/16/2015,1410.098619,,,5/16/2016,1653.3,,,,,,,,
5/17/2015,1096.73428,,,5/17/2016,1750.1,,,,,,,,
5/18/2015,1109.653846,,,5/18/2016,1798.7,,,,,,,,
5/19/2015,916.7916667,,,5/19/2016,1153.8,,,,,,,,
5/20/2015,692.1289063,,,5/20/2016,,,,,,,,,
5/21/2015,457.8019802,,,5/21/2016,,,,,,,,,
5/22/2015,786.996124,,,5/22/2016,,,,,,,,,
5/23/2015,608.5546875,,,5/23/2016,1711.8,,,,,,,,
5/24/2015,882.4361493,,,5/24/2016,1320.6,,,,,,,,
5/25/2015,694.7524752,,,5/25/2016,765.4,,,,,,,,
5/26/2015,667.4549098,,,5/26/2016,1478.6,,,,,,,,
5/27/2015,404.6978558,,,5/27/2016,,,,,,,,,
5/28/2015,343.44294,,,5/28/2016,1281.5,,,,,,,,
5/29/2015,1421.507937,,,5/29/2016,1262.755102,,,,,,,,
5/30/2015,1054.826884,,,5/30/2016,,,,,,,,,
5/31/2015,1024.192308,,,5/31/2016,,,,,,,,,
6/1/2015,235.523614,,,6/1/2016,1870.703934,,,,,,,,
6/2/2015,,,,6/2/2016,,,,,,,,,
6/3/2015,2446.970297,,,6/3/2016,2299.4,,,,,,,,
6/4/2015,1179.580838,,,6/4/2016,,,,,,,,,
6/5/2015,547.3577236,,,6/5/2016,1179.5,,,,,,,,
6/6/2015,446.6797642,,,6/6/2016,988.8,,,,,,,,
6/7/2015,1797.321773,,,6/7/2016,2092.2,,,,,,,,
6/8/2015,1459.596929,,,6/8/2016,1240,,,,,,,,
6/9/2015,1023.384913,,,6/9/2016,,,,,,,,,
6/10/2015,1251.99211,,,6/10/2016,1620.7,,,,,,,6/21/2015,737.8156313
6/11/2015,821.5039063,,,6/11/2016,865.9,,,,,,,6/21/2015,555.6969697
6/12/2015,849.6296296,,,6/12/2016,909.2,,,,,,,,
6/13/2015,1214.98,,,6/13/2016,932,,,,,,,,
6/14/2015,667.6861167,,,6/14/2016,,,,,,,,,
6/15/2015,1202.669246,,,6/15/2016,1326.2,,,,,,,,
6/16/2015,319.0778689,,,6/16/2016,1337.4,,,,,,,,
6/17/2015,566.199187,,,6/17/2016,1056.6,,,,,,,,
6/18/2015,723.7186898,,,6/18/2016,1336.9,,,,,,,,
6/19/2015,434.612326,,,6/19/2016,800.9,,,,,,,,
6/20/2015,,,,6/20/2016,1084.6,,,,,,,,
6/21/2015,646.756,,,6/21/2016,1186.4,,,,,,,,
6/22/2015,1101.431452,,,6/22/2016,1223.6,,,,,,,,
6/23/2015,556.008316,,,6/23/2016,,,,,,,,,
6/24/2015,617.5208333,,,6/24/2016,679.2,,,,,,,,
6/25/2015,837.7058824,,,6/25/2016,1785.9,,,,,,,,
6/26/2015,746.0122699,,,6/26/2016,,,,,,,,,
6/27/2015,573.9183673,,,6/27/2016,,,,,,,,,
6/28/2015,963.4897959,,,6/28/2016,,,,,,,,,
6/29/2015,962.504931,,,6/29/2016,1721.6,,,,,,,,
6/30/2015,384.4747082,,,6/30/2016,378,,,,,,,,
7/1/2015,882.4758221,,,7/1/2016,,,,,,,,,
7/2/2015,352.1153846,,,7/2/2016,,,,,,,,,
7/3/2015,,,,7/3/2016,,,,,,,,,
7/4/2015,424.4848485,,,7/4/2016,,,,,,,,,
