Animal_ID,Count,Sex,CaptureDate,Time,Age,Repro,Mass,TestisLength,Handler,Season,Location,prog.10,est.10,cort.10,Test.10,Notes
m,,F,4/3/2015,,A,,224,,,Spring,Zoo,27.09960474,67.36561265,46.09565217,na,
p,,F,4/3/2015,,A,,228.3,,,Spring,Zoo,42.74493927,36.33522267,63.96194332,na,
s,,F,4/3/2015,,A,,225.1,,,Spring,Zoo,30.5352,69.174,68.2296,na,
m,,F,4/4/2015,,A,,224,,,Spring,Zoo,17.57192982,35.417154,38.60584795,na,
p,,F,4/4/2015,,A,,228.3,,,Spring,Zoo,38.85483871,57.44435484,64.34032258,na,
s,,F,4/4/2015,,A,,225.1,,,Spring,Zoo,20.10186335,180.5942029,28.35279503,na,
m,,F,4/5/2015,,A,,224,,,Spring,Zoo,20.11509054,64.72635815,43.96539235,na,
p,,F,4/5/2015,,A,,228.3,,,Spring,Zoo,52.12474012,118.0889813,256.5130977,na,
s,,F,4/5/2015,,A,,225.1,,,Spring,Zoo,15.9011583,50.40733591,15.84324324,na,
m,,F,4/6/2015,,A,,224,,,Spring,Zoo,20.68582677,97.93503937,56.02913386,na,
p,,F,4/6/2015,,A,,228.3,,,Spring,Zoo,42.80854369,58.7176699,65.83456311,na,
s,,F,4/6/2015,,A,,225.1,,,Spring,Zoo,20.99758065,78.62298387,34.43951613,na,
m,,F,4/7/2015,,A,,224,,,Spring,Zoo,23.8374502,55.63944223,41.43824701,na,
p,,F,4/7/2015,,A,,228.3,,,Spring,Zoo,38.64271457,39.93772455,63.25748503,na,
s,,F,4/7/2015,,A,,225.1,,,Spring,Zoo,20.11133201,127.0497018,46.16540755,na,
m,,F,4/8/2015,,A,,224,,,Spring,Zoo,23.24912281,71.99805068,88.09590643,na,
p,,F,4/8/2015,,A,,228.3,,,Spring,Zoo,44.88798371,93.73767821,96.70386965,na,
s,,F,4/8/2015,,A,,225.1,,,Spring,Zoo,20.2795082,66.32377049,42.94180328,na,
m,,F,4/9/2015,,A,,224,,,Spring,Zoo,19.8432,49.214,43.4136,na,
p,,F,4/9/2015,,A,,228.3,,,Spring,Zoo,39.38028169,43.76579477,82.57303823,na,
s,,F,4/9/2015,,A,,225.1,,,Spring,Zoo,15.8904,206.784,30.0696,na,
m,,F,4/10/2015,,A,,224,,,Spring,Zoo,15.67741935,36.66532258,52.53387097,na,
p,,F,4/10/2015,,A,,228.3,,,Spring,Zoo,42.87142857,44.06111111,66.03095238,na,
s,,F,4/10/2015,,A,,225.1,,,Spring,Zoo,16.38764479,65.11003861,38.05019305,na,
m,,F,4/11/2015,,A,,224,,,Spring,Zoo,26.87802875,72.79876797,55.23696099,na,
