ct,ID,Date,Sex,%Binding,Cortisol (pg/well),Dilution,CF,Cort (pg/g feces),Cort (ng/g feces),Assay Date,%Binding,P4 (pg/well),Dilution,CF,P4 (pg/g feces),P4 (ng/g feces),Assay Date,%Binding,E2 (pg/well),Dilution,CF,E2 (pg/g feces),E2 (ng/g feces),Assay Date,
1,5000,8/2/18,F,63.437,5.472,540,20,1147526.214,1147.526214,8/14/2020,66.317,3.958,1000,20,1537087.379,1537.087379,8/14/2020,03/04/00,11.387,180,50,1989961.165,1989.961165,8/13/2020,
2,5003,7/30/19,F,54.583,9.775,180,20,687304.6875,687.3046875,8/11/2020,60.485,4.694,1000,20,1833593.75,1833.59375,8/14/2020,02/28/00,14.448,180,50,2539687.5,2539.6875,8/13/2020,
3,5003,8/2/18,F,71.005,4.258,600,20,1015825.05,1015.82505,8/11/2020,59.677,5.517,1000,20,2193638.171,2193.638171,8/26/2020,02/16/00,27.873,180,50,4987216.7,4987.2167,8/13/2020,
4,5003,8/12/18,F,33.348,31.277,60,20,759765.1822,759.7651822,8/6/2020,49.069,6.673,180,20,486291.498,486.291498,8/27/2020,03/17/00,5.225,180,50,951923.0769,951.9230769,8/13/2020,
5,5004,8/3/18,F,30.005,37.11,60,20,921987.5776,921.9875776,8/6/2020,74.683,3.011,1000,20,1246790.89,1246.79089,8/14/2020,03/15/00,5.78,180,50,1077018.634,1077.018634,8/13/2020,
6,5004,9/14/18,F,54.572,11.744,60,20,274178.9883,274.1789883,8/6/2020,80.54,2.396,1000,20,932295.7198,932.2957198,8/14/2020,03/13/00,6.556,180,50,1147937.743,1147.937743,8/13/2020,
7,5007,8/9/18,F,67.61,5.107,600,20,1271452.282,1271.452282,8/11/2020,64.349,4.82,1000,20,2000000,2000,8/26/2020,02/23/00,18.793,180,50,3509066.39,3509.06639,8/13/2020,
8,5007,9/7/18,F,26.775,46.028,60,20,1068348.162,1068.348162,8/6/2020,52.785,6.057,180,20,421764.0232,421.7640232,8/27/2020,03/16/00,5.286,180,50,920193.4236,920.1934236,8/13/2020,
9,5008,8/3/18,F,60.461,7.342,180,20,536129.8174,536.1298174,8/11/2020,37.194,9.197,180,20,671586.2069,671.5862069,8/27/2020,03/05/00,10.937,180,50,1996612.576,1996.612576,8/13/2020,
10,5010,8/4/18,F,43.315,16.661,600,20,3882174.757,3882.174757,8/11/2020,26.452,12.5,1000,20,4854368.932,4854.368932,8/14/2020,01/31/00,67.997,180,50,11882970.87,11882.97087,8/13/2020,
11,5019,6/8/19,F,48.5,15.524,540,20,3333184.891,3333.184891,8/13/2020,31.829,10.475,1000,20,4165009.94,4165.00994,8/14/2020,02/02/00,59.434,180,50,10634314.12,10634.31412,8/13/2020,
12,5023,8/4/18,F,71.038,5.779,600,20,1409512.195,1409.512195,8/13/2020,51.144,6.07,1000,20,2467479.675,2467.479675,8/14/2020,02/24/00,18.272,180,50,3342439.024,3342.439024,8/13/2020,
13,5048,1/13/19,F,56.997,7.601,540,20,1699602.484,1699.602484,8/14/2020,53.018,5.792,1000,20,2398343.685,2398.343685,8/14/2020,02/09/00,39.224,180,50,7308819.876,7308.819876,8/13/2020,
14,5048,2/25/19,F,69.87,3.995,360,20,584634.1463,584.6341463,8/13/2020,37.119,9.197,180,20,672951.2195,672.9512195,8/27/2020,03/12/00,6.855,180,50,1253963.415,1253.963415,8/13/2020,
15,5050,1/19/19,F,52.358,10.834,60,20,253921.875,253.921875,8/11/2020,70.601,3.679,180,20,258679.6875,258.6796875,8/27/2020,02/22/00,20.142,20,50,393398.4375,393.3984375,8/13/2020,
16,5051,1/24/19,F,69.585,3.912,540,20,846685.3707,846.6853707,8/14/2020,74.333,3.529,1000,20,1414428.858,1414.428858,8/26/2020,02/29/00,13.556,180,50,2444969.94,2444.96994,8/13/2020,
17,5051,1/30/19,F,27.816,50.094,180,20,3515368.421,3515.368421,8/20/2020,56.063,5.585,180,20,391929.8246,391.9298246,8/27/2020,03/03/00,13.029,20,50,253976.6082,253.9766082,8/13/2020,
