ct,date,ID,prog,est,cort
1,12/6/2017,1172,3170.322581,3240.241935,527.903
2,3/2/2018,1172,306.4883721,1085.773256,306.233
3,3/13/2018,1172,172.3278689,381.7827869,114.689
4,3/25/2018,1172,326.2368932,608.4854369,188.551
5,4/20/2018,1172,462.0995851,1919.771784,406.929
6,4/26/2018,1172,384.0950495,1809.861386,873.719
7,5/15/2018,1172,511.3306452,364.8387097,166.5
8,9/12/2017,1172,538.0580913,620.1659751,338.116
9,12/2/2017,1203,1263.143451,2154.012474,490.129
10,3/3/2018,1203,2329.651822,10126.51822,848.065
11,3/13/2018,1203,3138.328125,2332.617188,1408.711
12,4/5/2018,1203,11655.99184,461.2244898,2611.176
13,5/16/2018,1203,2294.511066,646.3380282,525.416
14,6/7/2018,1203,485.2948454,430.556701,334.318
15,3/24/2018,1203,1191.716599,1911.376518,1278.802
16,12/2/2017,1206,312.7366337,2436.653465,575.786
17,3/3/2018,1206,350.8812665,764.3271768,217.108
18,3/13/2018,1206,365.1728155,505.3398058,288.885
19,3/24/2018,1206,713.5764706,1548.72549,876.824
20,12/6/2017,1207,402.4180328,713.6680328,177.418
21,3/3/2018,1209,357.3975904,325.4016064,166.843
22,3/13/2018,1209,266.6024096,315.9236948,97.88
23,3/5/2018,1218,527.9051383,3793.498024,628.15
24,3/25/2018,1218,534.2459016,2098.893443,391.918
25,4/20/2018,1218,368.0159046,1245.666004,418.521
26,5/16/2018,1218,164.480315,171.8897638,308.74
27,5/14/2019,1218,4221.162325,1478.276553,790.076
28,7/10/2019,1218,725.6571429,937.2244898,602.522
29,9/14/2017,1219,381.5860735,1218.201161,523.079
30,12/3/2017,1219,128.7017544,347.5633528,690.082
31,3/2/2018,1220,372.4427184,2256.407767,801.833
32,3/2/2018,1220,491.6296296,1245.164609,1507.259
33,4/20/2018,1220,294.3529412,868.1135903,990.548
34,5/17/2018,1220,1023.388781,1029.052224,566.809
35,6/18/2019,1220,1882.634731,1295.748503,1740.575
36,6/18/2019,1220,3269.82659,1520.809249,662.52
37,7/10/2019,1220,2026.485437,2151.339806,1204.707
38,5/16/2018,1225,155.4579055,120.6570842,291.179
39,6/18/2018,1225,1345.593561,2132.655936,1264.95
40,5/22/2019,1225,2927.95082,1249.180328,1014.27
41,5/22/2019,1225,2914.112903,1805.645161,564.145
42,6/18/2019,1225,745.5438596,940.662768,545.45
43,6/18/2019,1225,612,599.9175258,345.922
44,5/29/2018,1226,2294.361055,2378.701826,1066.588
45,8/2/2018,5000,1537.087379,1989.961165,1147.526214
46,7/30/2019,5003,1833.59375,2539.6875,687.3046875
47,8/2/2018,5003,2193.638171,4987.2167,1015.82505
48,8/12/2018,5003,486.291498,951.9230769,759.7651822
49,8/3/2018,5004,1246.79089,1077.018634,921.9875776
50,9/14/2018,5004,932.2957198,1147.937743,274.1789883
51,8/9/2018,5007,2000,3509.06639,1271.452282
52,9/7/2018,5007,421.7640232,920.1934236,1068.348162
53,8/3/2018,5008,671.5862069,1996.612576,536.1298174
54,8/4/2018,5010,4854.368932,11882.97087,3882.174757
55,6/8/2019,5019,4165.00994,10634.31412,3333.184891
56,8/4/2018,5023,2467.479675,3342.439024,1409.512195
57,1/13/2019,5048,2398.343685,7308.819876,1699.602484
58,2/25/2019,5048,672.9512195,1253.963415,584.6341463
59,1/19/2019,5050,258.6796875,393.3984375,253.921875
60,1/24/2019,5051,1414.428858,2444.96994,846.6853707
61,1/30/2019,5051,391.9298246,253.9766082,3515.368421
62,2/25/2019,5052,5311.937378,11280.82192,7723.444227
63,1/23/2019,5053,388.502947,1416.836935,962.0746562
64,1/23/2019,5054,4850.416667,16730.4375,3741.75
65,1/30/2019,5053,424.9879518,1499.096386,4083.614458
66,1/23/2019,5055,2129.817444,2333.610548,564.4624746
67,3/7/2019,5055,335.3333333,498.8888889,1562.790123
68,1/23/2019,5056,3315.876289,8213.195876,418.556701
69,2/25/2019,5056,1660.040568,3186.876268,959.5131846
70,1/24/2019,5057,698.7906977,4086.104651,226.6976744
71,1/31/2019,5057,364.2699387,369.3251534,266.993865
72,2/15/2019,5057,1378.732106,1100.613497,648
73,4/18/2019,5057,1411.576846,1464.071856,1068.838323
74,1/23/2019,5060,432.2113503,1208.219178,388.0861057
75,2/7/2019,5060,396.5195876,1537.42268,5341.360825
76,2/15/2019,5060,388.4942085,1207.528958,399.6370656
77,2/1/2019,5063,208.5770751,286.2924901,174.3320158
78,3/9/2019,5063,440.6798419,717.9841897,8953.754941
79,2/18/2019,5067,1064.742268,1473.958763,378.7051546
80,3/4/2019,5067,2122.886598,1801.670103,481.7319588
81,2/27/2019,5069,2291.23506,4215.478088,1052.50996
82,3/20/2019,5069,5322.896282,35250.23483,6607.984344
83,4/19/2019,5069,393.6751468,814.109589,711.5459883
84,3/9/2019,5075,427.6167665,827.9640719,710.3952096
85,4/18/2019,5076,328.4453441,609.1700405,2233.360324
86,4/18/2019,5077,1227.329193,1761.055901,907.3043478
87,7/30/2019,5092,1598.412698,2921.071429,808.4285714
88,6/8/2019,5100,3793.38843,10606.98347,4130.553719
89,8/7/2019,5107,587.736,1075.5,607.8
90,8/12/2019,5110,2240.490798,2133.128834,837.4969325
91,8/14/2019,5113,1449.275362,507.5776398,1051.875776
92,4/3/2015,p,427.4493927,363.3522267,639.6194332
93,4/4/2015,p,388.5483871,574.4435484,643.4032258
94,4/5/2015,p,521.2474012,1180.889813,2565.130977
95,4/6/2015,p,428.0854369,587.176699,658.3456311
96,4/7/2015,p,386.4271457,399.3772455,632.5748503
97,4/8/2015,p,448.8798371,937.3767821,967.0386965
98,4/9/2015,p,393.8028169,437.6579477,825.7303823
99,4/10/2015,p,428.7142857,440.6111111,660.3095238
100,4/11/2015,p,311.1023622,220.2125984,538.8897638
