ct,ID-MGRS,date,prog/10,est/10,cort/10,,,,,,,,,,,,,,,,,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
1,1172,12/6/2017,317.0322581,324.0241935,52.790,,,,,,,,,,,,,,,,,,1,s,4/3/2015,305.352,691.74,682.296,,1,m,4/3/2015,270.9960474,673.6561265,460.9565217
2,1172,3/2/2018,30.64883721,108.5773256,30.623,,,,,,,,,,,,,,,,,,2,s,4/4/2015,201.0186335,1805.942029,283.5279503,,2,m,4/4/2015,175.7192982,354.17154,386.0584795
3,1172,3/13/2018,17.23278689,38.17827869,11.469,,,,,,,,,,,,,,,,,,3,s,4/5/2015,159.011583,504.0733591,158.4324324,,3,m,4/5/2015,201.1509054,647.2635815,439.6539235
4,1172,3/25/2018,32.62368932,60.84854369,18.855,,,,,,,,,,,,,,,,,,4,s,4/6/2015,209.9758065,786.2298387,344.3951613,,4,m,4/6/2015,206.8582677,979.3503937,560.2913386
5,1172,4/20/2018,46.20995851,191.9771784,40.693,,,,,,,,,,,,,,,,,,5,s,4/7/2015,201.1133201,1270.497018,461.6540755,,5,m,4/7/2015,238.374502,556.3944223,414.3824701
6,1172,4/26/2018,38.40950495,180.9861386,87.372,,,,,,,,,,,,,,,,,,6,s,4/8/2015,202.795082,663.2377049,429.4180328,,6,m,4/8/2015,232.4912281,719.9805068,880.9590643
7,1172,5/15/2018,51.13306452,36.48387097,16.650,,,,,,,,,,,,,,,,,,7,s,4/9/2015,158.904,2067.84,300.696,,7,m,4/9/2015,198.432,492.14,434.136
8,1172,9/12/2017,53.80580913,62.01659751,33.812,,,,,,,,,,,,,,,,,,8,s,4/10/2015,163.8764479,651.1003861,380.5019305,,8,m,4/10/2015,156.7741935,366.6532258,525.3387097
9,1203,12/2/2017,126.3143451,215.4012474,49.013,,,,,,,,,,,,,,,,,,9,s,4/11/2015,129.5130785,402.6760563,236.3299799,,9,m,4/11/2015,268.7802875,727.9876797,552.3696099
10,1203,3/3/2018,232.9651822,1012.651822,84.806,,,,,,,,,,,,,,,,,,10,s,4/12/2015,100.2222222,688.2716049,153.8518519,,10,m,4/12/2015,204.0923077,661.6153846,549.1153846
