ct,U of A Sample ID,Sample Date,Sex,,%Binding,P4 (pg/well),Dilution,CF,P4 (pg/g feces),P4 (ng/g feces),Assay Date,%Binding,E2 (pg/well),Dilution,CF,E2 (pg/g feces),E2 (ng/g feces),Assay Date,%Binding,Cortisol (pg/well),Dilution,CF,Cort (pg/g feces),Cort (ng/g feces),Assay Date
1,1172,12/6/17,Female,,67.683,4.368,1800,20,3170322.581,3170.322581,8/26/2020,50.165,26.786,120,50,3240241.935,3240.241935,08/14/20,78.837,2.182,600,20,0.008080878,0.000,8/14/2020
2,1172,3/2/18,Female,,54.706,4.393,1800,20,306488.3721,306.4883721,8/6/2020,34.468,62.251,180,50,1085773.256,1085.773256,08/14/20,46.649,13.168,600,20,0.145533148,0.000,8/11/2020
3,1172,3/13/18,Female,,72.785,2.336,180,20,172327.8689,172.3278689,8/6/2020,53.3,18.631,20,50,381782.7869,381.7827869,08/05/20,73.368,4.664,60,20,0.014659645,0.000,8/6/2020
4,1172,3/25/18,Female,,65.596,4.667,180,20,326236.8932,326.2368932,8/26/2020,43.953,31.337,20,50,608485.4369,608.4854369,08/20/20,63.707,8.092,60,20,0.015958311,0.000,8/20/2020
5,1172,4/20/18,Female,,60.972,6.187,180,20,462099.5851,462.0995851,12/19/2019,23.842,92.533,20,50,1919771.784,1919.771784,08/20/20,50.882,16.345,60,20,0.010216839,0.000,8/20/2020
6,1172,4/26/18,Female,,65.912,5.388,180,20,384095.0495,384.0950495,12/19/2019,24,91.398,20,50,1809861.386,1809.861386,08/20/20,33.632,36.769,60,20,0.024379105,0.000,8/20/2020
7,1172,5/15/18,Female,,57.971,7.045,180,20,511330.6452,511.3306452,12/19/2019,56.058,18.096,20,50,364838.7097,364.8387097,08/20/20,68.913,6.882,60,20,0.022635756,0.000,8/20/2020
8,1172,9/12/17,Female,,45.974,7.204,180,20,538058.0913,538.0580913,7/31/2020,67.463,9.964,60,50,620165.9751,620.1659751,08/06/20,75.687,4.527,180,20,0.026278772,0.000,8/13/2020
9,1203,12/2/17,Female,,19.877,16.877,180,20,1263143.451,1263.143451,7/31/2020,24.436,103.608,20,50,2154012.474,2154.012474,08/05/20,43.94,19.646,60,20,0.010944783,0.000,8/6/2020
10,1203,3/3/18,Female,,9.539,31.968,180,20,2329651.822,2329.651822,8/26/2020,41.869,50.025,200,50,10126518.22,10126.51822,08/20/20,34.607,34.912,60,20,0.004137098,0.000,8/20/2020
11,1203,3/13/18,Female,,6.051,44.634,180,20,3138328.125,3138.328125,8/26/2020,65.238,11.943,200,50,2332617.188,2332.617188,08/20/20,42.081,20.035,180,20,0.030920633,0.000,8/26/2020
12,1203,4/5/18,Female,,1.343,158.651,180,20,11655991.84,11655.99184,12/19/2019,90.464,2.26,200,50,461224.4898,461.2244898,08/20/20,29.827,35.541,180,20,0.277408513,0.000,8/26/2020
13,1203,5/16/18,Female,,12.234,31.677,180,20,2294511.066,2294.511066,12/19/2019,43.34,32.123,20,50,646338.0282,646.3380282,08/20/20,44.428,21.761,60,20,0.040401769,0.000,8/6/2020
14,1203,6/7/18,Female,,49.646,6.538,180,20,485294.8454,485.2948454,7/31/2020,55.082,20.882,20,50,430556.701,430.556701,08/14/20,52.184,13.512,60,20,0.037659151,0.000,8/6/2020
15,1203,3/24/18,Female,,20.628,16.353,180,20,1191716.599,1191.716599,7/31/2020,25.77,94.422,20,50,1911376.518,1911.376518,08/05/20,25.771,52.644,60,20,0.033050945,0.000,7/30/2020
16,1206,12/2/17,Female,,54.75,4.387,180,20,312736.6337,312.7366337,8/6/2020,22.575,123.051,20,50,2436653.465,2436.653465,08/05/20,39.609,24.231,60,20,0.011933252,0.000,8/6/2020
