ct,ID-MGRS,date,,in-prog,in-est,in-cort,,,ct,ID-WMRS,date,in-prog,in-est,in-cort  ,,,ct,ID-PHX-1,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
1,1172,12/6/2017,,3170.322581,3240.241935,527.903,,,1,5000,8/2/2018,1537.087379,1989.961165,1147.526214,,,1,p,4/3/2015,427.4493927,363.3522267,639.6194332,,1,s,4/3/2015,305.352,691.74,682.296,,1,m,4/3/2015,270.9960474,673.6561265,460.9565217
2,1172,3/2/2018,,306.4883721,1085.773256,306.233,,,2,5003,7/30/2019,1833.59375,2539.6875,687.3046875,,,2,p,4/4/2015,388.5483871,574.4435484,643.4032258,,2,s,4/4/2015,201.0186335,1805.942029,283.5279503,,2,m,4/4/2015,175.7192982,354.17154,386.0584795
3,1172,3/13/2018,,172.3278689,381.7827869,114.689,,,3,5003,8/2/2018,2193.638171,4987.2167,1015.82505,,,3,p,4/5/2015,521.2474012,1180.889813,2565.130977,,3,s,4/5/2015,159.011583,504.0733591,158.4324324,,3,m,4/5/2015,201.1509054,647.2635815,439.6539235
4,1172,3/25/2018,,326.2368932,608.4854369,188.551,,,4,5003,8/12/2018,486.291498,951.9230769,759.7651822,,,4,p,4/6/2015,428.0854369,587.176699,658.3456311,,4,s,4/6/2015,209.9758065,786.2298387,344.3951613,,4,m,4/6/2015,206.8582677,979.3503937,560.2913386
5,1172,4/20/2018,,462.0995851,1919.771784,406.929,,,5,5004,8/3/2018,1246.79089,1077.018634,921.9875776,,,5,p,4/7/2015,386.4271457,399.3772455,632.5748503,,5,s,4/7/2015,201.1133201,1270.497018,461.6540755,,5,m,4/7/2015,238.374502,556.3944223,414.3824701
6,1172,4/26/2018,,384.0950495,1809.861386,873.719,,,6,5004,9/14/2018,932.2957198,1147.937743,274.1789883,,,6,p,4/8/2015,448.8798371,937.3767821,967.0386965,,6,s,4/8/2015,202.795082,663.2377049,429.4180328,,6,m,4/8/2015,232.4912281,719.9805068,880.9590643
7,1172,5/15/2018,,511.3306452,364.8387097,166.5,,,7,5007,8/9/2018,2000,3509.06639,1271.452282,,,7,p,4/9/2015,393.8028169,437.6579477,825.7303823,,7,s,4/9/2015,158.904,2067.84,300.696,,7,m,4/9/2015,198.432,492.14,434.136
8,1172,9/12/2017,,538.0580913,620.1659751,338.116,,,8,5007,9/7/2018,421.7640232,920.1934236,1068.348162,,,8,p,4/10/2015,428.7142857,440.6111111,660.3095238,,8,s,4/10/2015,163.8764479,651.1003861,380.5019305,,8,m,4/10/2015,156.7741935,366.6532258,525.3387097
9,1203,12/2/2017,,1263.143451,2154.012474,490.129,,,9,5008,8/3/2018,671.5862069,1996.612576,536.1298174,,,9,p,4/11/2015,311.1023622,220.2125984,538.8897638,,9,s,4/11/2015,129.5130785,402.6760563,236.3299799,,9,m,4/11/2015,268.7802875,727.9876797,552.3696099
10,1203,3/3/2018,,2329.651822,10126.51822,848.065,,,10,5010,8/4/2018,4854.368932,11882.97087,3882.174757,,,10,p,4/12/2015,368.5889571,438.2985685,653.2515337,,10,s,4/12/2015,100.2222222,688.2716049,153.8518519,,10,m,4/12/2015,204.0923077,661.6153846,549.1153846
11,1203,3/13/2018,,3138.328125,2332.617188,1408.711,,,11,5019,6/8/2019,4165.00994,10634.31412,3333.184891,,,11,p,4/13/2015,457.2580645,487.3387097,960.9193548,,11,s,4/13/2015,106.5461538,820.5384615,295.5,,11,m,4/13/2015,267.0583658,790.6809339,544.2723735
12,1203,4/5/2018,,11655.99184,461.2244898,2611.176,,,12,5023,8/4/2018,2467.479675,3342.439024,1409.512195,,,12,p,4/15/2015,345.5444015,262.03861,706.8185328,,12,s,4/14/2015,151.5435685,986.9917012,304.1825726,,12,m,4/14/2015,199.6953908,585.8116232,544.2805611
13,1203,5/16/2018,,2294.511066,646.3380282,525.416,,,13,5048,1/13/2019,2398.343685,7308.819876,1699.602484,,,13,p,4/17/2015,450.7569721,391.561753,629.0438247,,13,s,4/15/2015,126.4864865,801.3899614,525.1969112,,13,m,4/15/2015,228.6,804.72,389.904
14,1203,6/7/2018,,485.2948454,430.556701,334.318,,,14,5048,2/25/2019,672.9512195,1253.963415,584.6341463,,,14,p,4/18/2015,407.0259481,805.245509,1047.305389,,14,s,4/17/2015,107.503937,1170.629921,302.9291339,,14,m,4/17/2015,290.1730382,960.3420523,1117.907445
15,1203,3/24/2018,,1191.716599,1911.376518,1278.802,,,15,5050,1/19/2019,258.6796875,393.3984375,253.921875,,,15,p,4/19/2015,405.8436214,540.8230453,969.3333333,,15,s,4/18/2015,98.90835031,772.2199593,565.0753564,,15,m,4/18/2015,314.3811395,1567.210216,454.3732809
16,1206,12/2/2017,,312.7366337,2436.653465,575.786,,,16,5051,1/24/2019,1414.428858,2444.96994,846.6853707,,,16,p,4/20/2015,295.5400411,268.2053388,760.4106776,,16,s,4/19/2015,110.3431953,515.5226824,362.9585799,,16,m,4/19/2015,250.902439,1819.593496,363.8780488
17,1206,3/3/2018,,350.8812665,764.3271768,217.108,,,17,5051,1/30/2019,391.9298246,253.9766082,3515.368421,,,17,p,4/21/2015,297.3809524,224.3571429,481.0238095,,17,s,4/20/2015,265.8461538,1294.043393,578.6035503,,17,m,4/20/2015,189.5028902,696.4547206,340.2312139
18,1206,3/13/2018,,365.1728155,505.3398058,288.885,,,18,5052,2/25/2019,5311.937378,11280.82192,7723.444227,,,18,p,4/22/2015,388.2851638,588.2157996,779.8612717,,18,s,4/21/2015,164.1481481,2774.958848,624.691358,,18,m,4/21/2015,362.5979381,789.5876289,637.9793814
19,1206,3/24/2018,,713.5764706,1548.72549,876.824,,,19,5053,1/23/2019,388.502947,1416.836935,962.0746562,,,19,p,4/23/2015,428.9430894,818.6178862,911.3414634,,19,s,4/22/2015,125.9642147,1388.011928,346.0675944,,19,m,4/22/2015,205.8099174,1222.727273,452.0826446
20,1207,12/6/2017,,402.4180328,713.6680328,177.418,,,20,5054,1/23/2019,4850.416667,16730.4375,3741.75,,,20,p,4/24/2015,263.1578947,208.3040936,487.7192982,,20,s,4/23/2015,147.3061224,1418.77551,470.2040816,,20,m,4/23/2015,219.096,735.6,503.616
21,1209,3/3/2018,,357.3975904,325.4016064,166.843,,,21,5053,1/30/2019,424.9879518,1499.096386,4083.614458,,,21,p,4/25/2015,380.1165049,585.8485437,740.807767,,21,s,4/24/2015,147.2217899,1116.55642,429.5719844,,21,m,4/24/2015,288.675,876.5,661.925
