ID,date,est,cort,pro
p,4/3/2015,363.3522267,639.6194332,427.4493927
p,4/4/2015,574.4435484,643.4032258,388.5483871
p,4/5/2015,1180.889813,2565.130977,521.2474012
p,4/6/2015,587.176699,658.3456311,428.0854369
p,4/7/2015,399.3772455,632.5748503,386.4271457
p,4/8/2015,937.3767821,967.0386965,448.8798371
p,4/9/2015,437.6579477,825.7303823,393.8028169
p,4/10/2015,440.6111111,660.3095238,428.7142857
p,4/11/2015,220.2125984,538.8897638,311.1023622
p,4/12/2015,438.2985685,653.2515337,368.5889571
p,4/13/2015,487.3387097,960.9193548,457.2580645
p,4/15/2015,262.03861,706.8185328,345.5444015
p,4/17/2015,391.561753,629.0438247,450.7569721
p,4/18/2015,805.245509,1047.305389,407.0259481
p,4/19/2015,540.8230453,969.3333333,405.8436214
p,4/20/2015,268.2053388,760.4106776,295.5400411
p,4/21/2015,224.3571429,481.0238095,297.3809524
p,4/22/2015,588.2157996,779.8612717,388.2851638
p,4/23/2015,818.6178862,911.3414634,428.9430894
p,4/24/2015,208.3040936,487.7192982,263.1578947
p,4/25/2015,585.8485437,740.807767,380.1165049
p,4/26/2015,702.2535211,667.9678068,407.0020121
p,4/27/2015,248.1882353,554.0705882,331.372549
p,4/28/2015,471.3765182,884.8906883,486
p,5/1/2015,368.1574803,721.7952756,357.7952756
p,5/2/2015,1442.452906,1091.735471,532.2645291
p,5/3/2015,545.377176,863.1876209,337.2533849
p,5/4/2015,302.78125,1284.210938,332.71875
p,5/5/2015,281.0250482,1140.693642,344.2774566
p,5/6/2015,930.1022495,636.0981595,516.6462168
p,5/7/2015,1740.430894,1002.317073,733.9837398
p,5/8/2015,516.2315369,951.0179641,442.2035928
p,5/9/2015,892.3178295,866.5348837,481.5503876
p,5/10/2015,531.25,993.7741935,457.0967742
p,5/11/2015,484.9920635,1246.714286,502.5396825
p,5/12/2015,196.1731959,1218.061856,351.3154639
p,5/14/2015,438.6906188,864.6227545,405.1097804
p,5/15/2015,680.3326572,955.9837728,450.6288032
p,5/16/2015,323.2638037,892.4171779,375.4601227
p,5/17/2015,300.0703125,951.2109375,377.578125
p,5/18/2015,363.1445087,1522.196532,337.2639692
p,5/19/2015,505.8939096,1210.32613,428.5265226
