"","id","day","date","s_est","s_cort","s_pro","id_1","day_1","date_1","s_est1","s_cort_1","s_pro1"
"1","yeara",1,"4/3/2015",691.7,682.3,305.4,"yearb",1,"4/3/2016",409.7,77.2,185.9
"2","yeara",2,"4/4/2015",1805.9,283.5,201,"yearb",2,"4/4/2016",266.1,73.3,101.4
"3","yeara",3,"4/5/2015",504.1,158.4,159,"yearb",3,"4/5/2016",498.5,182.9,216.7
"4","yeara",4,"4/6/2015",786.2,344.4,210,"yearb",4,"4/6/2016",1147.6,272.2,255.7
"5","yeara",5,"4/7/2015",1270.5,461.7,201.1,"yearb",5,"4/7/2016",906.2,281.6,255.6
"6","yeara",6,"4/8/2015",663.2,429.4,202.8,"yearb",6,"4/8/2016",2014.4,431,339.3
"8","yeara",8,"4/10/2015",651.1,380.5,163.9,"yearb",8,"4/10/2016",3294.1,530,291.2
"9","yeara",9,"4/11/2015",402.7,236.3,129.5,"yearb",9,"4/11/2016",1387.3,331.9,365.8
"10","yeara",10,"4/12/2015",688.3,153.9,100.2,"yearb",10,"4/12/2016",879.7,219.8,278.4
"11","yeara",11,"4/13/2015",820.5,295.5,106.5,"yearb",11,"4/13/2016",1230.5,280,288.6
"12","yeara",12,"4/14/2015",987,304.2,151.5,"yearb",12,"4/14/2016",1817,352.7,309.1
"13","yeara",13,"4/15/2015",801.4,525.2,126.5,"yearb",13,"4/15/2016",2272.7,539.2,354.8
"14","yeara",14,"4/17/2015",1170.6,302.9,107.5,"yearb",14,"4/17/2016",1491.3,323.7,318.6
"15","yeara",15,"4/18/2015",772.2,565.1,98.9,"yearb",15,"4/18/2016",1794.4,343.5,369.8
"16","yeara",16,"4/19/2015",515.5,363,110.3,"yearb",16,"4/19/2016",1775.3,399.9,341
"17","yeara",17,"4/20/2015",1294,578.6,265.8,"yearb",17,"4/20/2016",1828.7,597.8,355.2
"18","yeara",18,"4/21/2015",2775,624.7,164.1,"yearb",18,"4/21/2016",947.3,466.4,446.4
"19","yeara",19,"4/22/2015",1388,346.1,126,"yearb",19,"4/22/2016",1298.5,343.7,341.7
"20","yeara",20,"4/23/2015",1418.8,470.2,147.3,"yearb",20,"4/23/2016",1346,326.7,287.2
"21","yeara",21,"4/24/2015",1116.6,429.6,147.2,"yearb",21,"4/24/2016",1770.4,442.3,301.5
"22","yeara",22,"4/25/2015",1712.2,653,159.9,"yearb",22,"4/25/2016",1584.3,467.7,381.9
"23","yeara",23,"4/26/2015",504,411.4,190.7,"yearb",23,"4/26/2016",1339.5,295.1,339.3
"24","yeara",24,"4/27/2015",1018.5,203,123.7,"yearb",24,"4/27/2016",1097,333.6,224.1
"25","yeara",25,"4/28/2015",902.5,600.8,191.2,"yearb",25,"4/28/2016",1276.8,323.1,174.5
"26","yeara",26,"5/1/2015",301.2,278.6,98.9,"yearb",26,"4/29/2016",1815.9,423.7,314.4
"27","yeara",27,"5/2/2015",777.8,285.1,149.7,"yearb",27,"4/30/2016",1512.8,349.9,242.5
"28","yeara",28,"5/3/2015",1382.9,380.1,147.9,"yearb",28,"5/1/2016",1041.7,223.2,208.9
"29","yeara",29,"5/4/2015",705.2,357.8,121.3,"yearb",29,"5/2/2016",1160.9,280.9,253.8
"30","yeara",30,"5/5/2015",2502,408.6,224,"yearb",30,"5/3/2016",1245.5,485,292.9
"31","yeara",31,"5/6/2015",801.7,383.3,110.2,"yearb",31,"5/4/2016",501.1,231.6,336
"32","yeara",32,"5/7/2015",682,322.7,118.2,"yearb",32,"5/5/2016",826.4,286.1,278.2
"33","yeara",33,"5/8/2015",705.1,444.8,205.4,"yearb",33,"5/6/2016",788.4,254.2,232.1
"34","yeara",34,"5/9/2015",1329.4,700.4,227,"yearb",34,"5/7/2016",1794.5,434.1,372.5
"35","yeara",35,"5/10/2015",338.2,312.7,141.2,"yearb",35,"5/8/2016",1603.4,252.9,342.1
"36","yeara",36,"5/11/2015",567.9,426,172.1,"yearb",36,"5/9/2016",1146,238.3,399.7
"37","yeara",37,"5/12/2015",1793.9,787,269.7,"yearb",37,"5/10/2016",1166.9,210.7,289.4
"39","yeara",39,"5/15/2015",788.8,528,211.2,"yearb",39,"5/12/2016",674,164.8,285.7
"40","yeara",40,"5/16/2015",1410.1,561.4,211.4,"yearb",40,"5/13/2016",747.7,305,228.3
"41","yeara",41,"5/17/2015",1096.7,424.8,140.4,"yearb",41,"5/15/2016",876.5,203.8,266.4
"42","yeara",42,"5/18/2015",1109.7,344.7,165.5,"yearb",42,"5/16/2016",1274.7,6122.1,278.8
"43","yeara",43,"5/19/2015",916.8,544,140.3,"yearb",43,"5/17/2016",1653.3,244.1,330
"47","yeara",47,"5/23/2015",608.6,462.8,241.9,"yearb",47,"5/24/2016",1711.8,260.6,352
"48","yeara",48,"5/24/2015",882.4,591.4,245.4,"yearb",48,"5/25/2016",1320.6,370.9,257.6
"49","yeara",49,"5/25/2015",694.8,679.2,213.6,"yearb",49,"5/26/2016",765.4,229.6,223.1
"50","yeara",50,"5/26/2015",667.5,304.4,216.9,"yearb",50,"5/28/2016",1478.6,265.1,329
"52","yeara",52,"5/28/2015",343.4,274.2,117.6,"yearb",52,"6/1/2016",1262.8,215.2,279.6
"53","yeara",53,"5/29/2015",1421.5,687.5,292.1,"yearb",53,"6/3/2016",2299.4,3583,292.6
"56","yeara",56,"6/1/2015",235.5,179.7,124.2,"yearb",56,"6/7/2016",2092.2,587.8,272.9
"57","yeara",57,"6/3/2015",2447,567.2,268.5,"yearb",57,"6/8/2016",1240,542.9,297.4
"59","yeara",59,"6/5/2015",547.4,329.8,NA,"yearb",59,"6/11/2016",865.9,266.8,225.8
"60","yeara",60,"6/6/2015",446.7,280.4,116.8,"yearb",60,"6/12/2016",909.2,565.6,211
"61","yeara",61,"6/7/2015",1797.3,719,214.5,"yearb",61,"6/13/2016",932,423.5,234.8
"62","yeara",62,"6/8/2015",1459.6,665.3,212.9,"yearb",62,"6/15/2016",1326.2,437.1,224
"64","yeara",64,"6/10/2015",1252,437.8,254.1,"yearb",64,"6/17/2016",1056.6,375.6,265.1
"65","yeara",65,"6/11/2015",821.5,614.3,154.5,"yearb",65,"6/18/2016",1336.9,325.5,216.5
"66","yeara",66,"6/12/2015",849.6,787.9,251.1,"yearb",66,"6/19/2016",800.9,239.2,198.3
"67","yeara",67,"6/13/2015",1215,762.3,285.1,"yearb",67,"6/20/2016",1084.6,308.1,197.3
"69","yeara",69,"6/15/2015",1202.7,1106.4,246.7,"yearb",69,"6/22/2016",1223.6,472.9,234.3
"70","yeara",70,"6/16/2015",319.1,983.7,165.8,"yearb",70,"6/24/2016",679.2,279.9,159.5
"71","yeara",71,"6/17/2015",566.2,833.9,200.3,"yearb",71,"6/25/2016",1785.9,653.1,314.2
"72","yeara",72,"6/18/2015",723.7,656.2,144.5,"yearb",72,"6/29/2016",1721.6,606,222.9
"73","yeara",73,"6/19/2015",434.6,643.2,152.6,"yearb",73,"6/30/2016",378,211.8,170.7
"74","yeara",74,"6/21/2015",737.8,558.4,172.1,"yearb",74,"7/12/2016",2233.2,545,315.2
"75","yeara",75,"6/21/2015",555.7,505,193.4,"yearb",75,"7/13/2016",1813.2,585.6,326.3
"76","yeara",76,"6/22/2015",1101.4,662.2,174,"yearb",76,"7/14/2016",1539.3,623.2,340.6
"78","yeara",78,"6/24/2015",617.5,632.6,NA,"yearb",78,"7/18/2016",1062.5,6569.1,336
"79","yeara",79,"6/25/2015",837.7,365.6,NA,"yearb",79,"7/19/2016",1303.4,539.6,314.5
"80","yeara",80,"6/25/2015",816.2,240.5,163.2,"yearb",80,"7/20/2016",885.2,544,290.5
"84","yeara",84,"6/29/2015",962.5,410.1,176.7,"yearb",84,"7/24/2016",868.5,568,279.9
"85","yeara",85,"6/30/2015",384.5,240.4,105.5,"yearb",85,"7/25/2016",1064.5,792.5,427.6
"96","yeara",96,"7/12/2015",1121.1,523.8,198.9,"yearb",96,"8/6/2016",991.2,550.6,247.5
"97","yeara",97,"7/13/2015",1100.8,459.9,206.6,"yearb",97,"8/7/2016",676.6,473.4,204.5
"98","yeara",98,"7/13/2015",776.7,397,141.1,"yearb",98,"8/8/2016",561.9,402.3,236.3
"99","yeara",99,"7/14/2015",804.6,506.7,118.5,"yearb",99,"8/9/2016",434.2,957.4,171.6
"102","yeara",102,"7/17/2015",846.4,432.9,125.8,"yearb",102,"8/13/2016",477.2,528.8,182.3
"103","yeara",103,"7/18/2015",761.2,496.1,74.8,"yearb",103,"8/14/2016",923.8,443.6,388.4
"104","yeara",104,"7/19/2015",891.1,604.3,195.9,"yearb",104,"8/15/2016",784.1,490,252.1
"105","yeara",105,"7/20/2015",375.9,373.6,101.6,"yearb",105,"8/16/2016",386.3,349.2,186.6
"106","yeara",106,"7/21/2015",472.2,446.3,127,"yearb",106,"8/17/2016",678.8,448.7,181
"107","yeara",107,"7/22/2015",818.3,619.4,187.1,"yearb",107,"8/18/2016",773.7,850.6,267.6
