id,date,day,m_est,m_pro,m_cort
yeara,4/3/2015,1,673.6561265,270.9960474,460.9565217
yeara,4/4/2015,2,354.17154,175.7192982,386.0584795
yeara,4/5/2015,3,647.2635815,201.1509054,439.6539235
yeara,4/6/2015,4,979.3503937,206.8582677,560.2913386
yeara,4/7/2015,5,556.3944223,238.374502,414.3824701
yeara,4/8/2015,6,719.9805068,232.4912281,880.9590643
yeara,4/9/2015,7,492.14,198.432,434.136
yeara,4/10/2015,8,366.6532258,156.7741935,525.3387097
yeara,4/11/2015,9,727.9876797,268.7802875,552.3696099
yeara,4/12/2015,10,661.6153846,204.0923077,549.1153846
yeara,4/13/2015,11,790.6809339,267.0583658,544.2723735
yeara,4/14/2015,12,585.8116232,199.6953908,544.2805611
yeara,4/15/2015,13,804.72,228.6,389.904
yeara,4/17/2015,14,960.3420523,290.1730382,1117.907445
yeara,4/18/2015,15,1567.210216,314.3811395,454.3732809
yeara,4/19/2015,16,1819.593496,250.902439,363.8780488
yeara,4/20/2015,17,696.4547206,189.5028902,340.2312139
yeara,4/21/2015,18,789.5876289,362.5979381,637.9793814
yeara,4/22/2015,19,1222.727273,205.8099174,452.0826446
yeara,4/23/2015,20,735.6,219.096,503.616
yeara,4/24/2015,21,876.5,288.675,661.925
yeara,4/25/2015,22,1300.08,214.488,407.256
yeara,4/26/2015,23,766.1857708,253.3517787,400.5296443
yeara,4/27/2015,24,734.0792079,188.6970297,393.1485149
yeara,4/28/2015,25,535.3658537,252.2926829,540.3658537
yeara,5/1/2015,26,1237.651663,228.1878669,405.4637965
yeara,5/2/2015,27,847.6844262,262.7704918,593.6803279
yeara,5/3/2015,28,1228.466135,389.8326693,673.4103586
yeara,5/4/2015,29,458.4337349,354.3614458,750.9638554
yeara,5/5/2015,30,997.4612403,390.4186047,372.2790698
yeara,5/6/2015,31,586.4212679,237.3496933,605.5460123
yeara,5/7/2015,32,950.9807692,282.8769231,504.6
yeara,5/8/2015,33,2202.884615,531.7615385, 
yeara,5/9/2015,34,939.4230769,380.6307692,553.0384615
yeara,5/10/2015,35,2360.779727,370.7368421,729.2163743
yeara,5/11/2015,36,1133.927856,371.3266533,542.741483
yeara,5/12/2015,37,1418.903846,370.3153846,660.2538462
yeara,5/14/2015,38,2151.375969,469.1860465,985.9302326
yeara,5/15/2015,39,995.3281853,282.4401544,329.0501931
yeara,5/16/2015,40,1200.708333,300.6,1061.175
yeara,5/17/2015,41,731.0103093,203.0103093,295.2
yeara,5/18/2015,42,1232.978723,279.1566731,602.7852998
yeara,5/19/2015,43,1755.360624,303.9298246,615.2748538
yeara,5/20/2015,44,1111.309524,257,654.5
yeara,5/21/2015,45,862.2131148,272.3606557,435
yeara,5/22/2015,46,774.7572816,283.3165049,697.3747573
yeara,5/23/2015,47,1130.852391,352.2162162,588.7484407
yeara,5/24/2015,48,1354.169884,344.015444,621.3359073
yeara,5/25/2015,49,829.7490347,279.034749,391.042471
yeara,5/21/2015,50,970.3696099,300.7145791,813.4620123
yeara,5/27/2015,51,909.5,300.816,427.632
yeara,5/28/2015,52,756.955684,291.0520231,675.3757225
yeara,5/29/2015,53,497.5396825,190.2142857,392.1190476
yeara,5/30/2015,54,697.6595745,199.9148936,503.1411992
yeara,6/1/2015,55,1403.77551,310.8489796,567.5755102
yeara,6/3/2015,56,836.4342629,216,417.4183267
yeara,6/4/2015,57,736.9038462,177.3692308,481.3846154
yeara,6/5/2015,58,694.2094862,253.7075099,624.0474308
yeara,6/6/2015,59,617.5619835,265.3140496,603.3966942
yeara,6/7/2015,60,1584.940711,485.7865613, 
yeara,6/8/2015,61,2816.6875,441.45,961.325
yeara,6/9/2015,62,1024.887526,303.8282209,469.2269939
yeara,6/10/2015,63,773.9791667,226.425,329.175
yeara,6/11/2015,64,1144.099379,314.757764,449.8881988
yeara,6/12/2015,65,1076.536797,288.1558442,813.3766234
yeara,6/13/2015,66,750.7708333,329.025,383.85
yeara,6/14/2015,67,430.251938,172.1162791,227.0465116
yeara,6/15/2015,68,1209.715447,414.6585366,641.8780488
yeara,6/16/2015,69,1430.11811,358.7244094,588.8503937
yeara,6/17/2015,70,1308.232848,288.8981289,1196.482328
yeara,6/18/2015,71,1456.538462,280.7307692,540.3692308
yeara,6/19/2015,72,906.5671642,256.4520256,374.3539446
yeara,6/20/2015,73,1382.981744,292.6004057,457.8498986
yeara,6/21/2015,74,965.56,254.88,324.336
yeara,6/21/2015,75,886.5225933,241.7445972,667.2612967
yeara,6/22/2015,76,1558.722986,289.697446,633.5717092
yeara,6/23/2015,77,1604.455645,287.4193548,652.233871
yeara,6/24/2015,78,892.8066528,233.7380457,468.2494802
yeara,6/25/2015,79,643.125,197.4,550.35
yeara,6/26/2015,80,981.4757282,352.8699029,534.8271845
