days,yr1,,yr2
1,1805.9,,409.7
2,504.1,,266.1
3,786.2,,498.5
4,1270.5,,1147.6
5,663.2,,906.2
6,2067.8,,2014.4
7,651.1,,918.8
8,402.7,,3294.1
9,688.3,,1387.3
10,820.5,,879.7
11,987,,1230.5
12,801.4,,1817
13,1170.6,,2272.7
14,772.2,,1491.3
15,515.5,,1794.4
16,1294,,1775.3
17,2775,,1828.7
18,1388,,947.3
19,1418.8,,1298.5
20,1116.6,,1346
21,1712.2,,1770.4
22,504,,1584.3
23,1018.5,,1339.5
24,902.5,,1097
25,301.2,,1276.8
26,777.8,,1815.9
27,1382.9,,1512.8
28,705.2,,1041.7
29,2502,,1160.9
30,801.7,,1245.5
31,682,,501.1
32,705.1,,826.4
33,1329.4,,788.4
34,338.2,,1794.5
35,567.9,,1603.4
36,1793.9,,1146
37,2729.3,,1166.9
38,788.8,,1219.2
39,1410.1,,674
40,1096.7,,747.7
41,1109.7,,876.5
42,916.8,,1274.7
43,692.1,,1653.3
44,457.8,,1750.1
45,787,,1798.7
46,608.6,,1153.8
47,882.4,,1711.8
48,694.8,,1320.6
49,667.5,,765.4
50,404.7,,1478.6
51,343.4,,1281.5
52,1421.5,,1262.8
53,1054.8,,2299.4
54,1024.2,,1179.5
55,235.5,,988.8
56,2447,,2092.2
57,1179.6,,1240
58,547.4,,1620.7
59,446.7,,865.9
60,1797.3,,909.2
61,1459.6,,932
62,1023.4,,1326.2
63,1252,,1337.4
64,821.5,,1056.6
65,849.6,,1336.9
66,1215,,800.9
67,667.7,,1084.6
68,1202.7,,1186.4
69,319.1,,1223.6
70,566.2,,679.2
71,723.7,,1785.9
72,434.6,,1721.6
73,737.8,,378
74,555.7,,2233.2
75,1101.4,,1813.2
76,556,,1539.3
77,617.5,,1351.3
78,837.7,,1062.5
79,816.2,,1303.4
80,746,,885.2
81,573.9,,2568.9
82,963.5,,1003.4
83,962.5,,1105
84,384.5,,868.5
85,882.5,,1064.5
86,352.1,,1018.7
87,424.5,,776.5
88,482.9,,1398.9
89,413.7,,407.5
90,690.5,,584.1
91,593.6,,717.2
92,1255.1,,2656.3
93,910.3,,1132.4
94,2502.5,,921.7
95,1121.1,,939.3
96,1100.8,,991.2
97,776.7,,676.6
98,804.6,,561.9
99,1068.4,,434.2
100,1863.5,,782.8
101,846.4,,382.8
102,761.2,,477.2
103,891.1,,923.8
104,375.9,,784.1
105,472.2,,386.3
106,818.3,,678.8
107,412.6,,773.7
108,1149.8,,643.6
109,824.2,,593.4
110,344.1,,654
111,625.9,,1457.3
112,350.7,,802.2
113,841.8,,351.3
114,611.2,,490.3
115,1250,,628.7
116,455.8,,527.5
117,546.5,,707.5
118,421.8,,734.1
119,730.9,,702.6
120,490.5,,582.5
121,310.4,,467.8
