id,day,date,s_est,s_cort,s_pro,id_1,day_1,date_1,s_est1,s_cort_1,s_pro1,,y1,s_est,,y2,s_est,,,,,
yeara,1,4/3/2015,691.7,682.3,305.4,yearb,1,4/3/2016,409.7,77.2,185.9,,4/3/2015,691.74,,4/3/2016,409.7,,,,283.5,
yeara,2,4/4/2015,1805.9,283.5,201,yearb,2,4/4/2016,266.1,73.3,101.4,,4/4/2015,1805.942029,,4/4/2016,266.1,,,,,
yeara,3,4/5/2015,504.1,158.4,159,yearb,3,4/5/2016,498.5,182.9,216.7,,4/5/2015,504.0733591,,4/5/2016,498.5,,,,,
yeara,4,4/6/2015,786.2,344.4,210,yearb,4,4/6/2016,1147.6,272.2,255.7,,4/6/2015,786.2298387,,4/6/2016,1147.6,,,,,
yeara,5,4/7/2015,1270.5,461.7,201.1,yearb,5,4/7/2016,906.2,281.6,255.6,,4/7/2015,1270.497018,,4/7/2016,906.2,,,,,
yeara,6,4/8/2015,663.2,429.4,202.8,yearb,6,4/8/2016,2014.4,431,339.3,,4/8/2015,663.2377049,,4/8/2016,2014.4,,,,,
yeara,7,4/9/2015,2067.8,300.7,158.9,yearb,7,4/10/2016,918.8,272.9,290.3,,4/9/2015,2067.84,,4/10/2016,918.8,,,,,
yeara,8,4/10/2015,651.1,380.5,163.9,yearb,8,4/10/2016,3294.1,530,291.2,,4/10/2015,651.1003861,,4/10/2016,3294.1,,,,,
yeara,9,4/11/2015,402.7,236.3,129.5,yearb,9,4/11/2016,1387.3,331.9,365.8,,4/11/2015,402.6760563,,4/11/2016,1387.3,,,,,
yeara,10,4/12/2015,688.3,153.9,100.2,yearb,10,4/12/2016,879.7,219.8,278.4,,4/12/2015,688.2716049,,4/12/2016,879.7,,,,,
yeara,11,4/13/2015,820.5,295.5,106.5,yearb,11,4/13/2016,1230.5,280,288.6,,4/13/2015,820.5384615,,4/13/2016,1230.5,,,,,
yeara,12,4/14/2015,987,304.2,151.5,yearb,12,4/14/2016,1817,352.7,309.1,,4/14/2015,986.9917012,,4/14/2016,1817,,,,,
yeara,13,4/15/2015,801.4,525.2,126.5,yearb,13,4/15/2016,2272.7,539.2,354.8,,4/15/2015,801.3899614,,4/15/2016,2272.7,,,,,
yeara,14,4/17/2015,1170.6,302.9,107.5,yearb,14,4/17/2016,1491.3,323.7,318.6,,4/17/2015,1170.629921,,4/17/2016,1491.3,,,,,
